distance,duration
9778.89,11.08
10580.11,14.38
10580.11,14.67
9280.56,6.58
5883.95,7.5
11022.96,11.62
7750.91,9.78
7505.5,9.08
13835.83,17.58
2277.9,3.57
8043.16,9.33
7844.92,9.33
6692.78,8.33
7767.71,8.88
7706.57,8.02
8537.37,10.05
11985.58,15.25
12400.67,16.58
7866.28,9.58
13364.85,16.83
8533.65,10.33
3268.36,4.53
6982.77,8.08
6728.7,4.75
8924.97,8.67
8217.93,9.67
10564.48,8.67
9413.66,8.67
6598.26,6.95
7086.13,9.67
10621.86,12.42
7729.33,9.42
7729.33,5.92
7729.33,6.33
33.4,0.88
33.4,1.02
2277.9,4.25
6827.11,6.33
7095.86,8.43
7094.11,11.27
8540.97,10.0
8561.36,10.42
8561.36,11.27
11804.03,13.33
9570.48,13.0
9570.48,13.33
5684.92,7.83
3727.59,6.22
3727.59,5.15
2401.21,3.67
2401.21,3.58
2148.11,3.33
4170.61,6.25
2691.75,3.75
2691.75,3.83
2444.34,3.42
2444.34,3.42
2444.34,3.42
2444.34,2.73
1653.09,2.75
1653.09,2.67
1653.09,2.75
1653.09,2.67
1894.99,3.17
1894.99,3.25
1894.99,3.17
1894.99,3.0
1935.27,3.25
1935.27,3.17
1935.27,3.17
1530.79,2.58
2559.47,3.98
1754.95,2.83
2143.92,3.08
2143.92,3.17
2143.92,3.17
2143.92,3.08
2143.92,3.08
2143.92,3.08
1384.63,2.42
1384.63,2.33
2037.66,3.25
2037.66,3.25
2037.66,3.17
2037.66,3.17
2037.66,3.33
1967.38,2.42
1884.85,2.92
1497.57,2.58
1497.57,1.97
3270.39,4.75
2804.31,4.08
2804.31,3.83
2804.31,3.62
1782.8,2.67
1782.8,2.75
1782.8,2.75
3115.54,4.5
3115.54,4.43
2981.11,4.33
2241.08,3.5
2241.08,3.42
2142.51,3.17
2142.51,3.17
4176.91,6.42
2808.58,4.25
2808.58,4.25
2808.58,4.25
2808.58,3.93
3318.96,4.67
2653.25,3.58
2653.25,3.12
2940.09,4.33
3874.24,5.67
3874.24,5.83
3874.24,4.8
2630.71,3.75
2630.71,3.83
4725.22,6.83
6206.28,8.28
5890.7,8.67
5811.34,8.0
4494.88,6.67
4494.88,5.42
4163.25,6.33
4163.25,6.17
3682.14,5.73
3682.14,5.75
3682.14,5.5
3682.14,5.8
3682.14,5.77
2604.71,3.58
507.2,1.65
507.2,1.65
507.2,1.67
507.2,1.53
507.2,1.65
507.2,1.57
507.2,1.57
507.2,1.57
507.2,1.53
507.2,1.52
507.2,1.57
507.2,1.52
507.2,1.67
507.2,1.5
507.2,1.5
507.2,1.53
507.2,1.5
507.2,1.5
507.2,1.5
507.2,1.53
507.2,1.5
507.2,1.65
507.2,1.38
507.2,0.43
507.2,1.67
507.2,1.83
507.2,1.57
507.2,1.87
507.2,2.25
507.2,5.43
507.2,1.5
507.2,1.25
507.2,1.42
507.2,0.92
507.2,1.48
507.2,2.07
507.2,1.47
507.2,1.42
507.2,1.0
507.2,0.88
507.2,1.2
507.2,1.42
507.2,1.42
507.2,1.07
507.2,1.57
507.2,1.6
507.2,1.12
4113.73,5.92
6150.77,7.33
5726.98,8.17
6275.4,7.83
6770.46,8.25
5553.84,7.08
5214.2,6.83
5214.2,7.0
5674.37,7.0
5674.37,6.67
5674.37,6.58
5854.76,7.5
5752.24,6.92
5911.35,7.5
5552.82,6.92
5705.16,7.08
5727.75,7.25
5865.18,7.67
5865.18,6.92
5503.14,7.0
5338.37,6.5
5523.48,7.0
5523.48,7.0
5523.48,7.08
5523.48,7.33
5523.48,6.92
5523.48,6.38
6462.51,8.0
6005.49,7.5
6584.4,8.17
6113.36,7.92
2969.78,5.08
2969.78,4.92
2969.78,4.92
2969.78,4.75
2969.78,4.83
2969.78,5.08
2969.78,4.75
5905.06,7.75
3712.78,5.98
3712.78,6.17
4083.3,6.2
10619.64,12.33
4023.54,5.33
4069.32,5.92
4069.32,6.0
5235.16,6.83
5235.16,6.5
5235.16,6.58
5995.7,7.5
8897.0,10.5
10354.22,14.0
8143.7,10.08
408.98,1.45
408.98,1.45
408.98,1.45
408.98,1.45
408.98,3.87
408.98,1.27
1600.3,3.15
1600.3,2.97
1600.3,3.28
1600.3,2.92
2548.79,4.65
11270.75,14.5
4533.48,6.75
4533.48,6.5
2264.71,3.98
2264.71,3.98
2264.71,3.65
4075.85,6.53
3972.63,6.32
3972.63,6.27
1200.65,3.0
1200.65,2.75
1200.65,3.0
1200.65,2.75
1200.65,2.88
1200.65,3.0
1200.65,2.92
1200.65,2.55
1200.65,1.97
7631.85,9.17
3032.43,4.5
3032.43,4.47
3032.43,4.42
3032.43,4.42
3032.43,4.58
3032.43,4.58
532.43,1.67
532.43,1.78
532.43,1.7
532.43,1.78
532.43,1.7
532.43,1.67
532.43,1.53
532.43,2.0
537.17,1.8
787.31,2.13
787.31,1.92
787.31,2.13
10406.21,12.17
7686.76,9.67
6401.85,8.42
2432.25,4.15
2432.25,4.33
2587.5,4.5
3682.14,4.98
3682.14,4.75
3682.14,4.83
3682.14,4.67
3682.14,4.95
3682.14,4.55
3345.51,4.67
3345.51,4.42
3345.51,4.75
3345.51,4.67
3345.51,4.63
3345.51,4.62
3345.51,4.63
3345.51,4.57
3345.51,4.4
3345.51,4.4
3345.51,4.67
3345.51,4.57
3345.51,4.42
3345.51,4.68
3345.51,4.33
3345.51,4.48
3345.51,4.58
3345.51,4.57
3345.51,4.2
3345.51,3.52
3345.51,4.62
3345.51,4.02
3345.51,4.58
3345.51,4.67
3345.51,4.63
3345.51,10.12
3345.51,3.82
5684.92,7.5
8340.36,9.92
7707.26,9.58
8062.48,10.08
4475.54,5.92
4475.54,6.03
4475.54,5.92
4475.54,6.03
4475.54,6.03
4475.54,6.03
4475.54,6.0
4475.54,5.92
4475.54,9.07
7578.58,9.42
7578.58,9.58
7869.64,10.08
7925.31,9.5
3944.69,5.33
3944.69,5.67
3944.69,5.58
7503.43,10.67
7503.43,10.25
7503.43,10.25
7503.43,10.25
7503.43,10.23
10269.31,14.58
10269.31,14.33
10269.31,14.67
10269.31,14.5
10554.11,14.58
10554.11,13.92
11360.78,13.92
9591.68,13.08
9591.68,13.0
12812.91,16.75
7558.66,10.5
11433.39,15.5
11845.25,14.83
9822.38,13.33
10244.47,14.42
1288.71,2.42
1288.71,2.4
1288.71,2.42
1288.71,2.42
1288.71,2.42
1288.71,2.4
1288.71,2.47
1288.71,2.5
1288.71,2.25
10203.0,14.92
9016.08,12.75
9016.08,12.83
1740.89,3.05
1740.89,3.02
1740.89,2.98
1740.89,2.98
1740.89,3.0
1740.89,3.05
1740.89,2.53
1740.89,2.92
1740.89,2.92
1740.89,4.38
1740.89,2.45
12500.95,15.92
12500.95,15.25
8492.31,13.25
8492.31,12.83
3899.16,5.13
